Brand UID,Brand Name ,email,KAM Name 1,Assign Date 1,KAM Name 2 ,Assigin Date 2,KAM Name 3,Assigin Date 3,KAM Name 4,Assigin Date 4,KAM Name 5,Assigin Date 5,KAM Name 6,Assigin Date 6
3855,5 STAR CHICKEN,customercare@fivestarchicken.com,Jinalben Chavda,12-02-2025,,,,,,,,,,
4279,Madurai Idly,mispayments.it@gmail.com,Kamalakar Kasim,25-07-2024,Antolina Anil Francis,20-09-2025,,,,,,,,
4602,Bean Box Cafe,hmalani111@gmail.com,Kripal Patel,24-04-2025,Yogita Maheshwary,04-11-2025,,,,,,,,
4652,DNS,limbasiyavirat@gmail.com,Krutika Christian,23-07-2024,Kaushik Khandla,22-01-2026,,,,,,,,
4664,Times Cafe,cafe.aromabrd@gmail.com,Kripal Patel,25-04-2025,,,,,,,,,,
4778,PIZZA BURST (MAIN BRANCH),rahulveerwal@yahoo.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
5198,Madrasi Food Park,mos0411@gmail.com,Christian Krutika Veshalskumar,09-07-2024,Mahima Sali,25-08-2025,,,,,,,,
5298,Grill Kitchen,info.grillkitchen@gmail.com,Kripal Patel,03-09-2025,,,,,,,,,,
5566,The Pizza Dine,thepizzadinelko@gmail.com,Shah Anokhi Rajeshkumar,19-11-2024,Nikhil Kumar,20-11-2025,,,,,,,,
5618,SHAWARAMA NATION,rahulcal4u@gmail.com,Pradipta Sen,18-12-2024,,,,,,,,,,
5756,DIMSUM,dimsummomoexpress@gmail.com,Anokhi Shah,12-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
6416,Khichdi Etc,gaurav.tfs@gmail.com,Harsh Gohel,13-09-2024,,,,,,,,,,
6540,Sanjha Chulha,asifsc@yahoo.com,Pradipta Sen,18-12-2024,,,,,,,,,,
6584,Momoman,momoman.ahm@gmail.com,Kripal Patel,24-04-2025,,,,,,,,,,
6653,The Waffle Co.,totwc1@gmail.com,Bhanvi Gupta,10-03-2025,Kushawha Pooja,29-10-2025,Jitwin Purohit,11-12-2025,,,,,,
6701,Puffizza,info@puffizza.com,Harsh Gohel,29-08-2024,,,,,,,,,,
6834,Chicken Point,chiragjagga1987@gmail.com,Aman Mutneja,31-08-2024,Kushawha Pooja,06-10-2025,Jitwin Purohit,11-12-2025,,,,,,
7294,New Freezeland Law Garden,rushali1112@gmail.com,Harsh Gohel,13-09-2024,Mahima Sali,25-04-2025,,,,,,,,
7315,Just Shawarma,ateebcool@gmail.com,Rahul Taak,02-07-2024,Kinab Binditbhai Shah,10-03-2025,,,,,,,,
7357,UFO Fries and Corn,ufofriesandcorn@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
7566,Gianis,togianis.7@gmail.com,Bhanvi Gupta,10-03-2025,,,,,,,,,,
7707,Pizza Culture,gaurav@coffeeculture.co.in,Kripal Patel,28-07-2025,,,,,,,,,,
7737,Burger Point (A1 foods),csirahul@gmail.com,Krutika Christian,08-10-2024,Mahima Sali,25-08-2025,,,,,,,,
8197,Kulchaas & More,kulchasandmore@gmail.com,Krutika Christian,03-02-2025,Saloni Vaghela,21-01-2026,,,,,,,,
8286,FROOZO,atikagarwal@y7mail.com,Anjali Ray,27-06-2024,Christian Krutika Veshalskumar,09-07-2024,Kaushik Khandla,22-01-2026,,,,,,
8513,The Yellow Straw,piyush@theyellowstraw.com,Pradipta Sen,17-12-2024,,,,,,,,,,
8600,Doolally Taproom [ Vashi],admin@brewcraftsindia.com,Shah Shitanshu,11-10-2024,,,,,,,,,,
9086,Roll Xpress,afvhospitality@gmail.com,Aman Mutneja,11-09-2024,,,,,,,,,,
9188,MBA Chai Wala,info@mbachaiwala.com,Krutika Christian,03-08-2024,Mahima Sali,25-08-2025,,,,,,,,
9400,The Poutinerie,ahujaloveneet@cosaia.com,Kripal Patel,25-04-2025,,,,,,,,,,
9408,Twisting Scoops,kunwarjunejaa@gmail.com,Jhaveri Shalvi Nehalbhai,18-11-2024,,,,,,,,,,
9879,Tiffiny,mvr206@yahoo.com,Jinalben Chavda,21-01-2025,Antolina Anil Francis,16-12-2025,,,,,,,,
9889,Sandarshini,n.mithun.rao@gmail.com,Aman Kota,30-12-2025,,,,,,,,,,
10135,FOOD ADDA,hardiksavla3695@gmail.com,Krutika Christian,24-07-2024,Saloni Vaghela,19-01-2026,,,,,,,,
10173,HUNGRY POINT,gurpreetyours@gmail.com,Aman Mutneja,31-08-2024,,,,,,,,,,
10417,The Jivk Fine Bake & Multi Cusine,vibsap36@gmail.com,Mahima Sali,30-08-2025,Nikhil Kumar,01-09-2025,,,,,,,,
10462,ROHIT Wadewale,ranjeettale1@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
10648,SHANGZ  ( Sector 8),starkshangz@gmail.com,Aman Mutneja,31-08-2024,,,,,,,,,,
11041,William Johns Pizza,ceowjp@gmail.com,Harsh Gohel,28-08-2024,Mahima Sali,24-04-2025,,,,,,,,
11048,The Kati Roll Shop,arnavbajoria@gmail.com,Rahul Taak,03-07-2024,Nair Anchal,29-05-2025,,,,,,,,
11109,Radhika's  (Prahaladnagar),saisumanthsai@gmail.com,Krutika Christian,21-11-2025,Saloni Vaghela,19-01-2026,,,,,,,,
11248,Roms,pradeep.yadav.d@gmail.com,Pradipta Sen,17-12-2024,Kushawha Pooja,06-10-2025,Jitwin Purohit,11-12-2025,,,,,,
11726,Momo I M,momoiam7@gmail.com,Soumya Pal,29-09-2024,Pradipta Sen,17-12-2024,,,,,,,,
11846,Rominos Pizza,pankaj.joshi@taksharya.com,Chauhan Khushbu Girishkumar,11-03-2025,,,,,,,,,,
12074,Kathi nation,skylandgroup.zomato@gmail.com,Chauhan Khushbu Girishkumar,11-03-2025,Rishit Talati,26-12-2025,,,,,,,,
12132,BIRYANI BOX,admin@biriyanibox.com,Pradipta Sen,17-12-2024,,,,,,,,,,
12195,CHAWLAS-2,divjot@chawlachicken.com,Aman Mutneja,03-09-2024,,,,,,,,,,
12252,Kathiyawadi Village,khodalfoods26@gmail.com,Shah Shitanshu,10-04-2025,Kripal Patel,03-09-2025,,,,,,,,
12366,NutrioBox (Prashant Vihar),satvik@nutriobox.com,Bhanvi Gupta,10-03-2025,Nikhil Kumar,22-06-2025,,,,,,,,
12412,Kovallam,geet.panchal9@gmail.com,Mahima Sali,17-05-2025,,,,,,,,,,
12684,Doughpaze,doughpaze@gmail.com,Jinalben Chavda,21-01-2025,,,,,,,,,,
12741,Hello Food,dilbagsingh52490@gmail.com,Aman Mutneja,31-08-2024,,,,,,,,,,
12761,null,Canadianpizzaindia@gmail.com,Aman Mutneja,31-08-2024,,,,,,,,,,
13040,Thali Ghar,sunjjoy.dsdosafactory@gmail.com,Chauhan Khushbu Girishkumar,11-03-2025,Rishit Talati,29-12-2025,,,,,,,,
13048,Cafe Buddys Espresso,saltnsugar18@gmail.com,Rahul Taak,29-07-2024,Apurv,11-12-2025,,,,,,,,
13074,Kalpak,sujith.reddy@gmail.com,Shah Anokhi Rajeshkumar,19-11-2024,Shalvi Jhaveri,19-12-2025,,,,,,,,
13374,Gajanand pauva house,admin@gajanandpauvahouse.in,Kripal Patel,24-04-2025,,,,,,,,,,
13533,US PIZZA & FRIED CHICKEN,Uspfcinfo@gmail.com,Lakshita Juvansinh Thakor,26-06-2024,,,,,,,,,,
13605,Chota bite by GOODLUCK CAF?,ghasem1@hotmail.com,Kripal Patel,22-04-2025,Shitanshu Shah,04-09-2025,,,,,,,,
13875,KGN EPRS,prem.p@kgnxprs.com,Kripal Patel,22-04-2025,Shitanshu Shah,04-09-2025,,,,,,,,
13918,Prince Corner,m.k.jain936@gmail.com,Krutika Christian,25-09-2024,Parmar Rajeshbhai Kalubhai,02-01-2026,Krutika Christian,08-01-2026,Saloni Vaghela,21-01-2026,,,,
14040,Bay City Grill,gfbpetpooja@gmail.com,Snehal Dwivedi,05-08-2024,Kripal Patel,11-11-2025,,,,,,,,
14113,Canadian Pizza,rajbrar8570@gmail.com,Aman Mutneja,31-08-2024,,,,,,,,,,
14200,Domineez pizza,samsam63727@gmail.com,Rishit Talati,06-01-2026,,,,,,,,,,
14308,Pink Box Hauz Khas,Pinkboxx14@gmail.com,Nikhil Kumar,20-06-2025,,,,,,,,,,
14543,Kamla Cafe,rudimtcl@gmail.com,Harsh Gohel,03-02-2025,,,,,,,,,,
14653,Apnaa Addaa,Apnaaaddaa2@gmail.com,Kripal Patel,24-04-2025,,,,,,,,,,
14723,UR CHOICE,info.urchoice01@gmail.com,Apurv,16-12-2025,,,,,,,,,,
14778,DVG BENNE DOSA,akshobyafoods@gmail.com,Kamalakar Kasim,25-07-2024,,,,,,,,,,
14794,Burger Bar,burgerbarheadoffice@gmail.com,Aman Mutneja,11-09-2024,,,,,,,,,,
14935,The Kitchen Company,shrisvfoods@gmail.com,Mahima Sali,30-08-2025,,,,,,,,,,
15392,Pizza Galleria,pizzagalleria40c@gmail.com,Aman Mutneja,11-09-2024,,,,,,,,,,
15412,"Roll Express, Bathinda",rollexpressbathinda@gmail.com,Aman Mutneja,11-09-2024,,,,,,,,,,
15440,Cafe Hideout,anjesh@redbrickgroup.co.in,Soumya Pal,25-06-2024,Pradipta Sen,17-12-2024,Aakash Biswas,27-11-2025,,,,,,
15493,KASTURI FOOD PLAZA,bishal14@yahoo.com,Pradipta Sen,17-12-2024,Aakash Biswas,29-12-2025,,,,,,,,
15509,dominar pizza,kumarnaresh77182@gmail.com,Shah Anokhi Rajeshkumar,19-11-2024,Jitwin Purohit,24-11-2025,Aman Mutneja,22-01-2026,,,,,,
15515,NIRANKARI FAMILY RESTAURANT AND BAKERY,nicebrothercompany@gmail.com,Shah Anokhi Rajeshkumar,19-11-2024,Bhanvi Gupta,04-12-2025,,,,,,,,
15656,High Street,hsrhighstreet@gmail.com,Arpit Acharya,22-07-2025,,,,,,,,,,
16078,Tealogy Cafe,business@tealogy.in,Christian Krutika Veshalskumar,09-07-2024,Mahima Sali,25-08-2025,,,,,,,,
16342,Kritunga,ananthmandra@gmail.com,Kota Amankumar,20-08-2024,Farhan A. Shaikh,20-08-2024,Jinalben Chavda,28-01-2025,Aman Kota,01-01-2026,,,,
16347,Dosa n Chutnys,ysoni9387@gmail.com,Shah Anokhi Rajeshkumar,19-11-2024,Mahima Sali,03-11-2025,,,,,,,,
16880,Naiveydam Namaste Mid Way,finance@naivedyamrestaurants.in,Chauhan Khushbu Girishkumar,09-06-2025,Rishit Talati,27-12-2025,,,,,,,,
16947,pizza country,pizzacountry94@gmail.com,Krutika Christian,03-08-2024,Shah Anokhi Rajeshkumar,26-09-2024,Aman Mutneja,11-12-2025,,,,,,
17048,MASH Resto-Cafe,mashrestocafe@gmail.com,Sudhin Raveendran,19-10-2024,Anchal Nair,01-01-2026,,,,,,,,
17265,namaste punjab,namastepunjab91@gmail.com,Nikhil Kumar,11-08-2025,,,,,,,,,,
18210,O CHICKEN INDIA,ochickenchd@gmail.com,Aman Mutneja,11-09-2024,,,,,,,,,,
18347,my shop burger,shubham.taneja22@gmail.com,Aman Mutneja,31-08-2024,,,,,,,,,,
18375,Tipsy topsy bakers,aavirani1312@gmail.com,Aman Kota,30-12-2025,,,,,,,,,,
18725,ODISHA HOTEL,odishahotelcuisine@gmail.com,Pradipta Sen,09-06-2025,,,,,,,,,,
19287,Kudrati Kahumbo,kudratikahumbo@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
19538,The Blue Oven (Urban Chowk),lemonlimelimca@gmail.com,Krutika Christian,23-07-2024,Saloni Vaghela,17-01-2026,,,,,,,,
19860,Hyderabadi Ustad Biryani,chaatbazaardubai@gmail.com,Jinalben Chavda,07-11-2025,,,,,,,,,,
20552,Namaste Chai,namastechaiandheri23@gmail.com,Kripal Patel,24-04-2025,,,,,,,,,,
20985,Jail chai bar,njat69932@gmail.com,Mahima Sali,28-04-2025,Apurv,16-12-2025,,,,,,,,
21052,mh 12 pav bhaji,nnozaca@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
21102,chaitanyas food court,kotiramakrishna9@gmail.com,Rahul Taak,16-12-2024,,,,,,,,,,
21106,Crescent Restaurant,shameer@crescenthotels.in,Kinab Binditbhai Shah,22-04-2025,,,,,,,,,,
21223,The Shake Maker,sumit@theshakemaker.in,Harsh Gohel,28-08-2024,Mahima Sali,24-04-2025,,,,,,,,
21294,Yours foody hub,yourfoodyhubkharar1@gmail.com,Aman Mutneja,03-09-2024,,,,,,,,,,
21754,P Bhagat Tarachand,info@pbtc.co.in,Krutika Christian,21-04-2025,Saloni Vaghela,22-01-2026,,,,,,,,
21890,Superdonuts Sector 8,superdonuts8sector@gmail.com,Lakshita Juvansinh Thakor,26-06-2024,,,,,,,,,,
21936,Get Desserted,info@getdesserted.com,Aman Mutneja,11-09-2024,,,,,,,,,,
21966,The Burger Club,accounts@theburgerclub.in,Bhanvi Gupta,10-03-2025,Nikhil Kumar,22-06-2025,,,,,,,,
22240,Advanced Baking Concepts Pvt. Ltd.,ceo@zedthebaker.com,Jinalben Chavda,23-01-2025,,,,,,,,,,
22428,Jalaram Khichdi,dharmeshvarnamia53334@gmail.com,Krutika Christian,03-08-2024,Parmar Rajeshbhai Kalubhai,02-01-2026,Krutika Christian,08-01-2026,Saloni Vaghela,17-01-2026,,,,
22880,Cafe Durga,k.cafedurga@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
22936,Posto,rajiv2427@yahoo.in,Pradipta Sen,17-12-2024,Aakash Biswas,02-12-2025,,,,,,,,
22943,Kingdom of momos,bhuppi334@gmail.com,Chauhan Khushbu Girishkumar,11-03-2025,Rishit Talati,26-12-2025,,,,,,,,
23835,Rasobongo (Mira Road),muraliudyog@gmail.com,Yogita Maheshwary,10-09-2025,,,,,,,,,,
23952,Dosawala (Sola Road),neemshospitality@gmail.com,Kripal Patel,24-04-2025,Yogita Maheshwary,04-11-2025,,,,,,,,
24166,Biriyani Brothers,biriyanibrothers.bb@gmail.com,Anchal Nair,14-07-2025,,,,,,,,,,
24181,Cremeborne,cremeborne@gmail.com,Shah Anokhi Rajeshkumar,03-10-2024,Megha Chourasia,18-10-2024,Jhaveri Shalvi Nehalbhai,14-11-2024,,,,,,
24193,Topi Vappa Biriyani,online@topivappa.com,Jinalben Chavda,10-03-2025,,,,,,,,,,
24463,Bebe Di Rasoi,narangjasvin@gmail.com,Apurv,16-12-2025,,,,,,,,,,
25049,Candy Cloud Factory,candycloudfactory@gmail.com,Farhan A. Shaikh,23-09-2024,Jinalben Chavda,22-01-2025,,,,,,,,
25143,YO Frainke,theyofrankie@gmail.com,Kripal Patel,22-04-2025,,,,,,,,,,
25581,Octant Pizza,jesaniantra27@gmail.com,Apurv,16-12-2025,,,,,,,,,,
25718,CRUSH COFFEE,thecrushcafe07@gmail.com,Kripal Patel,24-04-2025,,,,,,,,,,
25773,Chai Kaapi,Operation@thechaikaapi.com,Mahima Sali,30-08-2025,,,,,,,,,,
25901,Pizza Khalo,vansha31@gmail.com,Shah Anokhi Rajeshkumar,16-11-2024,Nikhil Kumar,20-11-2025,,,,,,,,
26041,Chicago Pizza,despatch@chicagopizza.in,Bhanvi Gupta,10-03-2025,Nikhil Kumar,22-06-2025,,,,,,,,
26075,Lootel Smart restroom and cafe,yashwant@lootel.com,Mahima Sali,30-08-2025,Apurv,16-12-2025,,,,,,,,
26130,Love over coffee,rajats052@gmail.com,Chauhan Khushbu Girishkumar,11-03-2025,,,,,,,,,,
26748,Santosh dhaba exclsuive,Parisankla777@gmail.com,Rahul Taak,16-12-2024,,,,,,,,,,
26768,PAPA VEG PIZZA,papavegpizza@gmail.com,Shah Anokhi Rajeshkumar,18-11-2024,Shalvi Jhaveri,11-12-2025,,,,,,,,
26780,Papa Louise Pizza,joybose@whitehopehospitality.com,Harsh Gohel,13-09-2024,,,,,,,,,,
27275,THE FISH MARKET MULTI CUISIN RESTAURANT,v7brothers@yahoo.com,Rahul Taak,29-03-2025,,,,,,,,,,
27786,BOMBAY KULFI,manish@bombaykulfi.com,Nair Anchal,16-06-2025,,,,,,,,,,
27994,New new York pizzeria,Rekhapal495@gmail.com,Rishit Talati,06-01-2026,,,,,,,,,,
28083,Pizza Bite House,Bonivij111@gmail.com,Chauhan Khushbu Girishkumar,09-06-2025,Aman Mutneja,31-01-2026,,,,,,,,
28360,Cafe vishala,info@vishala.in,Arpit Acharya,16-07-2025,,,,,,,,,,
28407,BORIVALI BIRYANI CENTRE,bbcmainp@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
28425,SHREE MAHESHWARI CONFECTIONERS,sales@maakhanbhog.com,Harsh Gohel,19-04-2025,Mahima Sali,09-12-2025,,,,,,,,
28492,Kruti Retail Ventures LLP,info@kruticoffee.com,Pradipta Sen,09-06-2025,,,,,,,,,,
29002,Cafe Beats,vapicafebeats@gmail.com,Kripal Patel,24-04-2025,,,,,,,,,,
29007,SALAD DAYS,varun@saladdays.co,Aman Mutneja,31-08-2024,,,,,,,,,,
29251,Fruktville Delight OPC Pvt Ltd,dir.projects@instacuisino.com,Aakash Biswas,26-11-2025,Apurv,16-12-2025,Aakash Biswas,23-12-2025,,,,,,
30080,Punjabi Angithi,deepakzoma@gmail.com,Purohit Jitwin,04-01-2025,,,,,,,,,,
30367,BurgerMan,rameshkrishnan@burgerman.in,Jinalben Chavda,28-01-2025,,,,,,,,,,
30509,Ram ki Bandi,sachindhawan94@gmail.com,Rahul Taak,06-07-2024,,,,,,,,,,
30567,Idc Koramangala,jaidev.jta@gmail.com,Antolina Anil Francis,24-09-2025,,,,,,,,,,
30609,Duckling Cafe by Moets,mehreen.bindra@moets.com,Jhaveri Shalvi Nehalbhai,03-04-2025,,,,,,,,,,
30859,Coffee shastra,samurai21fv@gmail.com,Rahul Taak,04-07-2024,Nair Anchal,29-05-2025,,,,,,,,
31246,AGRAS KHARA PRIVATE LIMITED,akplonline@gmail.com,Rahul Taak,06-07-2024,,,,,,,,,,
31541,CocoJaunt 1728,Chefsenthil.ekambaram@gmail.com,Kinab Binditbhai Shah,25-09-2024,,,,,,,,,,
31953,Dabba garam 02,vivek.yadav324@gmail.com,Krutika Christian,14-02-2025,Parmar Rajeshbhai Kalubhai,02-01-2026,Krutika Christian,08-01-2026,Vaghela Saloni Kiritbhai,12-01-2026,,,,
32102,Hindustan Sweet,rajdeeppaul100@gmail.com,Pradipta Sen,17-12-2024,Aakash Biswas,31-10-2025,,,,,,,,
32324,The Blue  Poppy - Thakali,acckolkata2021@gmail.com,Pradipta Sen,05-07-2025,Aakash Biswas,27-11-2025,,,,,,,,
32343,SambharSa,anujgoyal2808@gmail.com,Nikhil Kumar,09-07-2025,Lakshita Thakor,05-01-2026,,,,,,,,
32998,Coconut Juice Bar (Gachibowli),central@coconutjuicebar.com,Aman Kota,30-12-2025,,,,,,,,,,
33087,RollsKing,rupeshrollsking@gmail.com,Purohit Jitwin,04-01-2025,,,,,,,,,,
33090,The Stayfit Kitchen,sunilkakoria121@gmail.com,Jitwin Purohit,17-06-2025,Pradipta Sen,22-12-2025,,,,,,,,
33170,Norfest The Dhaba,prateek_kr@hotmail.com,Jinalben Chavda,12-02-2025,Antolina Anil Francis,16-12-2025,,,,,,,,
33286,Dosa Hub,charcoalfancydosa@gmail.com,Kripal Patel,24-04-2025,,,,,,,,,,
33316,Thyme & Whisk,thymenwhisk@gmail.com,Harsh Gohel,21-04-2025,Yogita Maheshwary,25-08-2025,Kaushik Khandla,02-01-2026,,,,,,
33337,HOT & FRESH U.K PIZZA,ukpizzaindia@yahoo.com,Aman Mutneja,11-09-2024,Shah Anokhi Rajeshkumar,19-11-2024,Aman Mutneja,25-11-2024,,,,,,
33492,Lemon Grass,manager.lemongrass@gmail.com,Soumya Pal,08-08-2024,Pradipta Sen,17-12-2024,,,,,,,,
33729,Rasna Buzz,sumit.nandan@ichakdana.in,Aman Mutneja,03-09-2024,Nikhil Kumar,20-01-2026,,,,,,,,
33854,Hide out pizza family,abhishek.ftp@gmail.com,Shah Anokhi Rajeshkumar,19-11-2024,Nikhil Kumar,20-11-2025,,,,,,,,
34062,Doner & Gyros,prateeksachdeva7999@gmail.com,Christian Krutika Veshalskumar,09-07-2024,Shah Anokhi Rajeshkumar,19-12-2024,Kushawha Pooja,12-11-2025,Jitwin Purohit,11-12-2025,,,,
34138,TIKKA KEBAB,shashim78@gmail.com,Acharya Arpit,25-04-2025,,,,,,,,,,
34341,Wow China,ramudgar.c@wowmomo.com,Abhishek Jain,07-08-2024,Soumya Pal,29-09-2024,Pradipta Sen,17-12-2024,,,,,,
35046,Chai Waale,chaiwaaletrades@gmail.com,Kinab Binditbhai Shah,07-10-2024,,,,,,,,,,
35195,Whers's The Fork,sileenafoods@gmail.com,Shah Anokhi Rajeshkumar,09-06-2025,Shalvi Jhaveri,03-12-2025,,,,,,,,
35344,Cha Vala Cafe Pvt. Ltd. (Ring Road),info@chavala.in,Krutika Christian,28-03-2025,Parmar Rajeshbhai Kalubhai,02-01-2026,Krutika Christian,08-01-2026,Vaghela Saloni Kiritbhai,16-01-2026,,,,
35654,Waffle World,waffleworldpune@gmail.com,Krutika Christian,23-07-2024,Parmar Rajeshbhai Kalubhai,02-01-2026,Krutika Christian,08-01-2026,Saloni Vaghela,17-01-2026,,,,
36303,Ganesh Bhel,kapil.thakare@ganeshbhel.com,Kripal Patel,24-04-2025,Snehal Dwivedi,19-09-2025,Kaushik Khandla,13-12-2025,,,,,,
36421,Samsung food court / Proodle Hospitality Services P Ltd,admin@proodle.in,Nair Anchal,29-05-2025,,,,,,,,,,
36763,Dharmas Sandwich,jigs17101991@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,Apurv,16-12-2025,,,,,,
36831,Cafe Creme,info@cafecreme.co.in,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
36960,PeterDonut,omkar.cafepeter@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
37026,Meal Culture,mealculture@gmail.com,Harsh Gohel,28-08-2024,Mahima Sali,24-04-2025,,,,,,,,
37308,Gopaljee Restaurant,Suvigya24@yahoo.co.in,Kamalakar Kasim,01-01-2026,,,,,,,,,,
37497,Mud koffee,mudkoffee@gmail.com,Kota Amankumar,17-04-2025,,,,,,,,,,
37600,Denzong Kitchen (Bikramgarh),denzongkitchenfood@gmail.com,Pradipta Sen,20-12-2024,,,,,,,,,,
37691,Burgerland,ajay.softic5@gmail.com,Christian Krutika Veshalskumar,09-07-2024,Mahima Sali,25-08-2025,,,,,,,,
37767,Pingara Umami & La Delice,pingarahotels@gmail.com,Yogita Maheshwary,04-11-2025,,,,,,,,,,
37917,Urban Vada Pav,rpsingh@urbanvadapav.com,Purohit Jitwin,10-01-2025,,,,,,,,,,
38004,Althaf Food Court,althaffoodcourt@gmail.com,Kinab Binditbhai Shah,29-01-2025,,,,,,,,,,
38213,Mitti Cafe,hello@mitticafe.org,Soumya Pal,25-06-2024,Pradipta Sen,17-12-2024,Aakash Biswas,27-11-2025,Arpit Acharya,20-12-2025,,,,
38263,DAVARA COFFEE,davaracoffee@gmail.com,Kota Amankumar,14-08-2024,,,,,,,,,,
38670,MV Group,mvgroup1706@gmail.com,Jinalben Chavda,13-02-2025,,,,,,,,,,
38683,Juice Factory,juicefactory2015@gmail.com,Mahima Sali,30-08-2025,,,,,,,,,,
38739,Sivasakthi Foods (I) Pvt Ltd,ponsinghr@sivasakthi.in,Sudhin Raveendran,07-05-2025,,,,,,,,,,
38769,Tikka Junction,chirag_kesar@yahoo.com,Chauhan Khushbu Girishkumar,11-03-2025,Rishit Talati,26-12-2025,,,,,,,,
39069,The Tummy Section,thetummysection@gmail.com,Kushawha Pooja,06-10-2025,Bhanvi Gupta,11-12-2025,,,,,,,,
39395,S.S. ENTERPRISE,s.sumanta2012@gmail.com,Pradipta Sen,18-08-2025,Aakash Biswas,29-12-2025,,,,,,,,
39396,Best Belgian Waffle,chetan.tathed@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
39528,6 Ballygunge Place,soumenkumardas@savourites.in,Pradipta Sen,17-12-2024,Aakash Biswas,29-12-2025,,,,,,,,
39659,CP- PRIME FRESH,pradeepkumar.pap@cp-india.com,Jinalben Chavda,21-01-2025,,,,,,,,,,
